genre,size_tier,book_name,book_relpath,cap,mode,query_id,query_type,query_text,k,hop,max_nodes,query_seconds,returned_nodes,unique_node_ratio,unique_file_ratio,similar_edge_fraction
biography,short,Autobiography of Benjamin Franklin,corpus/biography/Autobiography of Benjamin Franklin,8,without_similar,Q0001,factual_entity,"Identify the main people, places, or entities and their roles.",8,1,15,0.089631,15,1.0,0.066667,0.111111
biography,short,Autobiography of Benjamin Franklin,corpus/biography/Autobiography of Benjamin Franklin,8,without_similar,Q0002,thematic_semantic,What major themes and ideas are developed in this text?,8,1,15,0.025911,15,1.0,0.066667,0.2
biography,short,Autobiography of Benjamin Franklin,corpus/biography/Autobiography of Benjamin Franklin,8,without_similar,Q0003,cross_chunk_context,Connect early events to later outcomes and explain their relationship.,8,1,15,0.015358,15,1.0,0.066667,0.0
biography,short,Autobiography of Benjamin Franklin,corpus/biography/Autobiography of Benjamin Franklin,8,with_similar,Q0001,factual_entity,"Identify the main people, places, or entities and their roles.",8,1,15,0.015894,15,1.0,0.066667,0.111111
biography,short,Autobiography of Benjamin Franklin,corpus/biography/Autobiography of Benjamin Franklin,8,with_similar,Q0002,thematic_semantic,What major themes and ideas are developed in this text?,8,1,15,0.014281,15,1.0,0.066667,0.2
biography,short,Autobiography of Benjamin Franklin,corpus/biography/Autobiography of Benjamin Franklin,8,with_similar,Q0003,cross_chunk_context,Connect early events to later outcomes and explain their relationship.,8,1,15,0.013508,15,1.0,0.066667,0.0
biography,short,Autobiography of Benjamin Franklin,corpus/biography/Autobiography of Benjamin Franklin,15,without_similar,Q0001,factual_entity,"Identify the main people, places, or entities and their roles.",8,1,15,0.026598,15,1.0,0.066667,0.111111
biography,short,Autobiography of Benjamin Franklin,corpus/biography/Autobiography of Benjamin Franklin,15,without_similar,Q0002,thematic_semantic,What major themes and ideas are developed in this text?,8,1,15,0.016642,15,1.0,0.066667,0.272727
biography,short,Autobiography of Benjamin Franklin,corpus/biography/Autobiography of Benjamin Franklin,15,without_similar,Q0003,cross_chunk_context,Connect early events to later outcomes and explain their relationship.,8,1,15,0.01573,15,1.0,0.066667,0.0
biography,short,Autobiography of Benjamin Franklin,corpus/biography/Autobiography of Benjamin Franklin,15,with_similar,Q0001,factual_entity,"Identify the main people, places, or entities and their roles.",8,1,15,0.016611,15,1.0,0.066667,0.111111
biography,short,Autobiography of Benjamin Franklin,corpus/biography/Autobiography of Benjamin Franklin,15,with_similar,Q0002,thematic_semantic,What major themes and ideas are developed in this text?,8,1,15,0.017701,15,1.0,0.066667,0.272727
biography,short,Autobiography of Benjamin Franklin,corpus/biography/Autobiography of Benjamin Franklin,15,with_similar,Q0003,cross_chunk_context,Connect early events to later outcomes and explain their relationship.,8,1,15,0.017173,15,1.0,0.066667,0.0
biography,medium,Confessions — Saint Augustine,corpus/biography/Confessions — Saint Augustine,8,without_similar,Q0004,factual_entity,"Identify the main people, places, or entities and their roles.",8,1,15,0.031253,15,1.0,0.066667,0.0
biography,medium,Confessions — Saint Augustine,corpus/biography/Confessions — Saint Augustine,8,without_similar,Q0005,thematic_semantic,What major themes and ideas are developed in this text?,8,1,15,0.018655,15,1.0,0.066667,0.0
biography,medium,Confessions — Saint Augustine,corpus/biography/Confessions — Saint Augustine,8,without_similar,Q0006,cross_chunk_context,Connect early events to later outcomes and explain their relationship.,8,1,15,0.018835,15,1.0,0.066667,0.0
biography,medium,Confessions — Saint Augustine,corpus/biography/Confessions — Saint Augustine,8,with_similar,Q0004,factual_entity,"Identify the main people, places, or entities and their roles.",8,1,15,0.015973,15,1.0,0.066667,0.0
biography,medium,Confessions — Saint Augustine,corpus/biography/Confessions — Saint Augustine,8,with_similar,Q0005,thematic_semantic,What major themes and ideas are developed in this text?,8,1,15,0.016318,15,1.0,0.066667,0.0
biography,medium,Confessions — Saint Augustine,corpus/biography/Confessions — Saint Augustine,8,with_similar,Q0006,cross_chunk_context,Connect early events to later outcomes and explain their relationship.,8,1,15,0.015948,15,1.0,0.066667,0.0
biography,medium,Confessions — Saint Augustine,corpus/biography/Confessions — Saint Augustine,15,without_similar,Q0004,factual_entity,"Identify the main people, places, or entities and their roles.",8,1,15,0.029953,15,1.0,0.066667,0.0
biography,medium,Confessions — Saint Augustine,corpus/biography/Confessions — Saint Augustine,15,without_similar,Q0005,thematic_semantic,What major themes and ideas are developed in this text?,8,1,15,0.017732,15,1.0,0.066667,0.0
biography,medium,Confessions — Saint Augustine,corpus/biography/Confessions — Saint Augustine,15,without_similar,Q0006,cross_chunk_context,Connect early events to later outcomes and explain their relationship.,8,1,15,0.016892,15,1.0,0.066667,0.0
biography,medium,Confessions — Saint Augustine,corpus/biography/Confessions — Saint Augustine,15,with_similar,Q0004,factual_entity,"Identify the main people, places, or entities and their roles.",8,1,15,0.017933,15,1.0,0.066667,0.0
biography,medium,Confessions — Saint Augustine,corpus/biography/Confessions — Saint Augustine,15,with_similar,Q0005,thematic_semantic,What major themes and ideas are developed in this text?,8,1,15,0.016689,15,1.0,0.066667,0.0
