query_id,query_type,genre,book_relpath,book_name,query_text,expected_signals,expected_node_ids,relevance_label,assessor,notes
Q0001,factual_entity,biography,corpus/biography/Autobiography of Benjamin Franklin,Autobiography of Benjamin Franklin,What experiment did Franklin conduct with a kite and a key to demonstrate the electrical nature of lightning?,kite lightning electricity Leyden jar,chunk:autobiography_of_benjamin_franklin.md:0805,high,human,Franklin's kite experiment described across multiple nearby chunks
Q0002,thematic_semantic,biography,corpus/biography/Autobiography of Benjamin Franklin,Autobiography of Benjamin Franklin,How did Franklin develop his approach to moral virtue and self-improvement through his thirteen virtues program?,virtue temperance resolution moral character self-improvement,chunk:autobiography_of_benjamin_franklin.md:0430|chunk:autobiography_of_benjamin_franklin.md:0431|chunk:autobiography_of_benjamin_franklin.md:0434|chunk:autobiography_of_benjamin_franklin.md:0433|chunk:autobiography_of_benjamin_franklin.md:0439,high,human,Thirteen virtues scheme and retrospective assessment
Q0003,cross_chunk_context,biography,corpus/biography/Autobiography of Benjamin Franklin,Autobiography of Benjamin Franklin,What was Franklin's experience learning and working in the printing trade as a young man in Boston and London?,printing press apprentice compositor type journeyman,,high,human,Printing apprenticeship spans Boston and London sections far apart in text
Q0004,factual_entity,biography,corpus/biography/Confessions — Saint Augustine,Confessions — Saint Augustine,What was the decisive moment of Augustine's conversion in the garden when he heard a child's voice saying take up and read?,tolle lege garden voice take up and read conversion,chunk:confessions_saint_augustine.md:0713,high,human,The garden conversion scene — tolle lege episode
Q0005,thematic_semantic,biography,corpus/biography/Confessions — Saint Augustine,Confessions — Saint Augustine,How did Augustine's involvement with the Manichaean sect mislead him during his early intellectual development?,Manichaean sect Mani heresy nine years error,chunk:confessions_saint_augustine.md:0347|chunk:confessions_saint_augustine.md:0348|chunk:confessions_saint_augustine.md:0315|chunk:confessions_saint_augustine.md:0314|chunk:confessions_saint_augustine.md:0376|chunk:confessions_saint_augustine.md:0296,high,human,Manichaean period spans multiple books of the Confessions
Q0006,cross_chunk_context,biography,corpus/biography/Confessions — Saint Augustine,Confessions — Saint Augustine,How does Augustine express the theme of the soul's restlessness and its longing for rest in God throughout the Confessions?,restless heart rest in Thee longing love desire God,chunk:confessions_saint_augustine.md:0988,high,human,Restlessness theme recurs from Book I through Book XIII — prime cross-chunk candidate
Q0007,factual_entity,biography,corpus/biography/The Life of Samuel Johnson — James Boswell,The Life of Samuel Johnson — James Boswell,What were the circumstances of the publication of Johnson's Dictionary and what letter did he write to Lord Chesterfield about it?,dictionary English language Chesterfield letter publication 1755,chunk:the_life_of_samuel_johnson_james_boswell.md:0264|chunk:the_life_of_samuel_johnson_james_boswell.md:0265|chunk:the_life_of_samuel_johnson_james_boswell.md:0263|chunk:the_life_of_samuel_johnson_james_boswell.md:0380|chunk:the_life_of_samuel_johnson_james_boswell.md:0261,high,human,Dictionary publication and the famous Chesterfield rebuke
Q0008,thematic_semantic,biography,corpus/biography/The Life of Samuel Johnson — James Boswell,The Life of Samuel Johnson — James Boswell,How did the friendship and regular conversations between Boswell and Johnson shape the portrait of Johnson in the biography?,Boswell friendship conversation club wit anecdote,chunk:the_life_of_samuel_johnson_james_boswell.md:0018|chunk:the_life_of_samuel_johnson_james_boswell.md:0019|chunk:the_life_of_samuel_johnson_james_boswell.md:0017|chunk:the_life_of_samuel_johnson_james_boswell.md:0026,high,human,Club membership and recorded conversations as biographical method
Q0009,cross_chunk_context,biography,corpus/biography/The Life of Samuel Johnson — James Boswell,The Life of Samuel Johnson — James Boswell,How does Boswell document Johnson's struggle with melancholy illness and fear of death across different periods of his life?,melancholy illness fear death gloomy ardour final years,,high,human,Johnson's melancholy and mortality recur from youth through final illness — cross-chunk candidate
Q0010,factual_entity,philosophy,corpus/philosophy/Groundwork of the Metaphysics of Morals (Kant),Groundwork of the Metaphysics of Morals (Kant),What is Kant's formulation of the categorical imperative as a universal law and how does he derive it from the concept of a good will?,categorical imperative universal law maxim good will,chunk:groundwork_of_the_metaphysics_of_morals_kant.md:0328|chunk:groundwork_of_the_metaphysics_of_morals_kant.md:0319|chunk:groundwork_of_the_metaphysics_of_morals_kant.md:0282,high,claude,Three highest-density chunks for categorical imperative formulation
